source:/home/wmlinux/dir1/get_homologues-x86_64-20210828/MTB_vs_FH_15112022_homologues/sample_intersection	Agrobacterium_tumefaciens_C58_full.gb	_Azospirillum_brasilense_Sp7_full.gbk	_Blastochloris_viridis_DSM133.gb	_Magnetospirillu_15-1.gb	_Magnetospirillum.gbk	_Magnetospirillum_gryphiswaldense_NZ_CP027526.gb	_Mesorhizobium_japonicum_MAFF303099_full.gbk	_Rhodobacter_capsulatus_SB1003_full.gbk	_Rhodobacter_sphaeroides_2.4.1_full.gbk	_Rhodoblastus_acidophilus_DSM137.gb	_Rhodomicrobium_vannielii_ATCC.gbk	_Rhodoplanes_elegans_DSM11907.gb	_Rhodopseudomonas_pseudopalustris_DSM123.gb	_Rhodospirillum_rubrum_ATCC11170_full.gbk	_Rhodovastum_atsumiense.gbk	_Rhodovastum_atsumiense_G2-11.gbk	_Rubrivivax_gelatinosus_DSM1709.gb	
12156_DUF1223_domain-conta...faa	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	
12157_acnA.faa	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	2	
12158_ccmA.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12159_ccmB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12160_heme_ABC_transporter...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12161_ccmD.faa	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	
12162_DsbE_family_thiol-di...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12163_RsmB-NOP_family_clas...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12164_heparinase_II-III_fa...faa	1	1	1	0	1	1	1	1	1	1	1	2	1	0	1	1	0	
12165_purH.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12166_MFS_transporter.faa	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	
12167_ppa.faa	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	
12168_GNAT_family_N-acetyl...faa	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	
12169_site-2_protease_fami...faa	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	
12170_typA.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12171_htpX.faa	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	
12172_DUF1674_domain-conta...faa	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	
12173_Fic_family_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12174_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12175_argininosuccinate_sy...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12176_L-D-transpeptidase_f...faa	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	
12177_response_regulator_t...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12178_cyclic_nucleotide-bi...faa	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	
12179_lytic_murein_transgl...faa	2	1	3	1	1	1	2	1	1	2	3	3	3	1	1	1	1	
12180_leuB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12181_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12182_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12183_aspartate-semialdehy...faa	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12184_carbonic_anhydrase.faa	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	
12185_rlmN.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12186_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12187_LysE_family_transloc...faa	3	1	1	1	1	1	4	2	1	0	1	0	2	2	1	1	1	
12188_NADPH-quinone_oxidor...faa	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	
12189_ParB-RepB-Spo0J_fami...faa	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	
12190_ParA_family_protein.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12191_rsmG.faa	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
12192_mnmG.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12193_mnmE.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12194_thioredoxin_domain-c...faa	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	
12195_rho.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12196_hemJ.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12197_uroporphyrinogen_dec...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12198_kinase-pyrophosphory...faa	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	
12199_Maf_family_protein.faa	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	
12200_shikimate_dehydrogen...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12201_dephospho-CoA_kinase.faa	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
12202_dnaQ.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12203_secB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12204_Tim44_domain-contain...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12205_MltA_domain-containi...faa	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
12206_Smr-MutS_family_prot...faa	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	
12207_peptide_chain_releas...faa	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	
12208_hslU.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12209_hslV.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12210_hisB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12211_DUF2628_domain-conta...faa	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	
12212_hisH.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12213_hisA.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12214_hisF.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12215_phosphoribosyl-ATP_d...faa	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	
12216_type_I_pantothenate_...faa	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	
12217_glutathione_S-transf...faa	2	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	
12218_queG.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12219_hypothetical_protein.faa	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
12220_M48_family_metallope...faa	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	
12221_phaZ.faa	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	
12222_ABC_transporter_perm...faa	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	
12223_ABC_transporter_ATP-...faa	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	
12224_ActS-PrrB-RegB_famil...faa	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	
12225_ActR-PrrA-RegA_famil...faa	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	
12226_MmcB_family_DNA_repa...faa	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	
12227_class_II_aldolase-ad...faa	0	1	1	1	0	1	1	0	2	1	0	0	1	2	1	1	2	
12228_mtnA.faa	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12229_alpha-beta_hydrolase.faa	0	2	1	0	0	0	3	1	1	1	0	0	0	1	1	1	2	
12230_rhodanese-like_domai...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
12231_nth.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12232_methylated-DNA---pro...faa	2	1	1	0	0	0	2	1	1	1	1	1	1	1	1	1	0	
12233_hypothetical_protein.faa	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
12236_ybgC.faa	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	
12237_HAMP_domain-containi...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12238_ruvB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12239_phosphoribosylanthra...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12240_trpB.faa	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
12241_tryptophan_synthase_...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12242_acetyl-CoA_carboxyla...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12243_bifunctional_folylpo...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12244_tetratricopeptide_re...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12245_SCO_family_protein.faa	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	
12246_glycosyltransferase.faa	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	
12247_transporter_substrat...faa	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	
12248_lysine--tRNA_ligase.faa	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12249_efflux_RND_transport...faa	0	0	1	5	1	1	0	0	0	4	1	4	5	0	1	1	1	
12250_efflux_RND_transport...faa	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	
12251_FixH_family_protein.faa	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	
12252_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12253_phoB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12254_phoU.faa	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
12255_phosphate_ABC_transp...faa	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	
12256_pstA.faa	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	
12257_pstC.faa	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
12258_PstS_family_phosphat...faa	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	
12259_two-component_sensor...faa	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	
12260_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
12261_UPF0104_family_prote...faa	1	0	1	0	0	0	1	0	0	2	0	2	2	1	0	0	1	
12262_2--deoxycytidine_5--...faa	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	
12263_DNA_polymerase_III_s...faa	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	
12264_hypothetical_protein.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12265_leucine--tRNA_ligase.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12266_YggS_family_pyridoxa...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12267_hypothetical_protein.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	
12268_sigma-70_family_RNA_...faa	1	2	1	0	0	1	2	1	1	0	0	3	2	1	0	0	0	
12269_2-hydroxychromene-2-...faa	1	1	1	1	1	1	0	1	1	1	0	0	3	1	0	0	1	
12271_TPM_domain-containin...faa	0	0	1	0	0	0	2	0	0	1	1	0	1	0	0	0	1	
12272_TPM_domain-containin...faa	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	
12273_DUF393_domain-contai...faa	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	
12274_nuclear_transport_fa...faa	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12275_pdxY.faa	1	1	1	1	1	1	1	0	1	0	1	1	1	2	1	1	0	
12276_NUDIX_hydrolase.faa	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	
12277_patatin-like_phospho...faa	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	
12278_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12279_DEAD-DEAH_box_helica...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12280_infA.faa	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
12281_Hsp33_family_molecul...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12282_argF.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12283_aspartate_aminotrans...faa	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	
12284_GcrA_cell_cycle_regu...faa	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	
12285_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	
12286_HD_family_hydrolase.faa	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
12287_trxA.faa	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	
12288_addA.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12289_addB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12290_nucleotidyltransfera...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12291_tsaE.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	
12292_PAS_domain-containin...faa	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	
12293_cysK.faa	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	
12294_Rrf2_family_transcri...faa	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	
12295_dut.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12296_coaBC.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12297_type_II_toxin-antito...faa	1	0	1	3	0	1	1	1	0	1	1	3	4	1	0	0	1	
12298_plasmid_stabilizatio...faa	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
12299_ubiB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	
12300_ubiE.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12301_mutM.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12302_enoyl-CoA_hydratase.faa	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	
12303_hypothetical_protein.faa	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	
12304_DUF2249_domain-conta...faa	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	
12306_DUF1858_domain-conta...faa	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	
12307_Crp-Fnr_family_trans...faa	1	1	1	2	2	1	0	2	1	2	1	2	2	0	2	2	4	
12308_crtI.faa	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	
12309_putative_urea_ABC_tr...faa	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	
12310_ABC_transporter_perm...faa	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	
12311_ABC_transporter_ATP-...faa	1	1	1	0	0	1	0	0	1	1	0	2	1	0	0	0	1	
12312_urea_carboxylase-ass...faa	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	
12313_urea_carboxylase-ass...faa	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	
12314_uca.faa	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	
12315_atzF.faa	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	
12316_multidrug_efflux_SMR...faa	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	
12317_transglutaminase_fam...faa	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	
12318_circularly_permuted_...faa	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	
12319_hypothetical_protein.faa	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	
12321_class_I_SAM-dependen...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
12322_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
12323_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	
12324_M3_family_metallopep...faa	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	
12325_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12326_AsmA_family_protein.faa	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	
12327_fabI.faa	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	
12328_fabB.faa	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	
12329_fabA.faa	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	
12330_transcriptional_repr...faa	1	1	1	1	1	1	1	1	1	3	2	1	1	1	0	0	1	
12331_hypothetical_protein.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12332_D-glycerate_dehydrog...faa	1	2	1	1	1	1	1	2	2	1	2	2	1	2	1	1	1	
12333_cupin_domain-contain...faa	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	
12334_DUF3126_family_prote...faa	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	
12335_oligosaccharide_flip...faa	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	
12336_NAD-P--dependent_oxi...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12337_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12338_moeB.faa	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	
12339_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12340_MBL_fold_metallo-hyd...faa	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	
12341_arfB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12342_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12343_helix-turn-helix_tra...faa	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	
12344_TonB-dependent_sider...faa	3	1	2	0	0	0	0	2	2	1	0	4	1	2	3	3	2	
12345_alpha-beta_hydrolase.faa	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	
12346_ABC_transporter_subs...faa	2	0	1	0	0	1	0	2	0	0	0	1	0	0	1	1	0	
12347_iron_chelate_uptake_...faa	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	
12348_ABC_transporter_ATP-...faa	1	0	1	0	0	1	0	2	0	0	0	1	0	0	1	1	0	
12349_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12350_DUF3327_domain-conta...faa	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
12352_helix-turn-helix_tra...faa	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
12353_4--phosphopantethein...faa	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	
12354_2-3-dihydro-2-3-dihy...faa	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
12355_isochorismatase_fami...faa	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
12356_AMP-binding_protein.faa	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
12358_non-ribosomal_peptid...faa	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12359_MbtH_family_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12360_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12361_ATP-binding_cassette...faa	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	
12362_efflux_RND_transport...faa	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	
12363_entS.faa	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	2	
12364_ATP-binding_cassette...faa	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	
12365_iron_chelate_uptake_...faa	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	
12366_iron_chelate_uptake_...faa	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	
12367_siderophore_ABC_tran...faa	2	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	
12368_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12369_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12370_adenosylhomocysteina...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	
12371_HPr_family_phosphoca...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12372_methionyl-tRNA_formy...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12373_lepA.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12374_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12375_GIY-YIG_nuclease_fam...faa	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
12376_multidrug_effflux_MF...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
12377_alpha-beta_hydrolase.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12378_glycosyltransferase_...faa	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	
12379_translation_initiati...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12380_rpmI.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12381_rplT.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12382_pheS.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12383_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12384_endonuclease_domain-...faa	1	1	1	1	0	0	0	0	0	1	0	2	2	0	0	0	1	
12385_phenylalanine--tRNA_...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12386_FAD-dependent_oxidor...faa	0	0	1	1	0	0	1	0	0	1	0	1	2	0	0	0	0	
12387_sulfate_transporter_...faa	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	
12388_rimP.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12389_nusA.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12390_RNA-binding_protein.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12391_infB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12392_rbfA.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12393_truB.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12394_rpsO.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12395_pnp.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12396_PAS-domain_containin...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12397_methyltransferase_do...faa	2	2	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	
12398_hypothetical_protein.faa	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	
12399_quinone-dependent_di...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12400_DUF952_domain-contai...faa	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	
12401_helix-turn-helix_tra...faa	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	
12402_hypothetical_protein.faa	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
12403_adenylosuccinate_syn...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12404_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12405_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12406_glycosyltransferase_...faa	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
12407_ribonuclease_HII.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12408_neutral_zinc_metallo...faa	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	
12409_PaaI_family_thioeste...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12410_1-phosphofructokinas...faa	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	
12411_polysaccharide_biosy...faa	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	
12412_phosphoenolpyruvate_...faa	0	1	1	1	1	1	0	0	0	1	0	2	0	1	1	1	1	
12413_TIGR02186_family_pro...faa	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	
12414_sulfite_exporter_Tau...faa	1	1	1	2	2	1	1	1	1	0	1	1	1	1	0	0	0	
12415_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12416_response_regulator.faa	0	1	1	0	0	0	1	0	0	0	0	1	1	0	2	2	0	
12417_GNAT_family_N-acetyl...faa	2	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	
12418_insulinase_family_pr...faa	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12419_threonine_synthase.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12420_invasion_associated_...faa	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	
12421_tldD.faa	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	
12423_peptide_deformylase.faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
12424_MerR_family_DNA-bind...faa	1	2	2	1	0	0	2	1	1	1	1	0	0	2	1	1	2	
12425_SEL1-like_repeat_pro...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12426_methyl-accepting_che...faa	0	4	1	5	8	3	0	0	0	2	0	4	7	3	1	1	0	
12427_thymidylate_synthase.faa	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	
12428_stringent_starvation...faa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
12429_dihydrofolate_reduct...faa	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	
12430_thiC.faa	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	
12431_hypothetical_protein.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12432_hypothetical_protein.faa	0	0	1	2	1	1	1	0	0	0	0	0	1	0	0	0	1	
